ee_sandbox_ee_fifa_parsed_players_parsed_name,position_group,ee_sandbox_ee_fifa_parsed_teams_parsed_name,avg_rating,duel_win,dribble_success,tackle_success,passes_per_90,minutes_played,matches_played
Unai Simón,Goalkeeper,Spain,6.8999999999999995,0.875,,,31.026316,1140,12
Pedri,Midfielder,Spain,7.191666666666666,0.513158,0.555556,0.625,94.731308,856,12
Kieran Trippier,Defender,England,7.599999999999999,0.6625,0.857143,0.47619,53.239437,781,12
Guillermo Ochoa,Goalkeeper,Mexico,7.2625,,,,28.012327,649,12
Rodri,Midfielder,Spain,7.733333333333333,0.673077,0.666667,0.677419,120.806452,1116,12
Jesús Gallardo,Defender,Mexico,6.816666666666666,0.569767,0.8,0.409091,34.332669,1004,12
Marcos Llorente,Defender,Spain,7.05,0.478261,1,0.857143,65.846645,313,12
Eric Dier,Defender,England,6.628571428571428,0.526316,1,0.666667,74.634146,287,12
Mathew Ryan,Goalkeeper,Australia,6.771428571428571,,,,35.515055,631,11
Noussair Mazraoui,Defender,Morocco,6.990909090909091,0.604938,0.5,0.62963,37.456038,853,11
Neymar,Forward,Brazil,7.340000000000001,0.451429,0.467742,0.5,48.053777,781,11
Miloš Degenek,Defender,Australia,6.775,0.740741,,0.666667,35.052632,190,11
Aziz Behich,Defender,Australia,6.56,0.5,0.478261,0.5,38.827667,853,11
Ismaïla Sarr,Forward,Senegal,7.109090909090909,0.564885,0.533333,0.714286,19.102041,980,11
Fernando Muslera,Goalkeeper,Uruguay,6.4125,0.666667,,,24.533333,675,11
Guillermo Varela,Defender,Uruguay,6.725,0.653061,0.333333,0.7,39.09375,640,11
Mario Pašalić,Midfielder,Croatia,6.645454545454545,0.428571,,0.666667,32.954545,396,11
Kalidou Koulibaly,Defender,Senegal,6.544444444444444,0.626866,,0.590909,45.340909,792,11
Joško Gvardiol,Defender,Croatia,6.881818181818182,0.52,0.333333,0.666667,63.485915,852,11
Nikola Vlašić,Midfielder,Croatia,6.533333333333333,0.403846,0.6,0.333333,20.786802,394,11
Rodrigo Bentancur,Midfielder,Uruguay,6.845454545454545,0.528,0.764706,0.791667,59.787986,849,11
Ángel Di María,Forward,Argentina,7.025,0.514706,0.615385,0.4,35.351044,527,11
Jackson Irvine,Midfielder,Australia,6.736363636363635,0.469697,0.571429,0.555556,38.83758,628,11
Franco Armani,Goalkeeper,Argentina,5.75,,,,26,180,11
Ante Budimir,Forward,Croatia,6.6,0.422222,1,1,8.61244,209,11
Raheem Sterling,Forward,England,6.699999999999999,0.328947,0.526316,1,28.162252,604,11
Josip Šutalo,Defender,Croatia,6.74,0.583333,0.5,0.8,67.2,450,11
Vinícius Júnior,Forward,Brazil,7.577777777777778,0.458333,0.4375,0.333333,26.648721,743,10
Thorgan Hazard,Midfielder,Belgium,7.15,0.535714,0.666667,0.571429,40.344828,203,10
Rúben Neves,Midfielder,Portugal,6.642857142857143,0.272727,,0.5,78.646154,325,10
Hyeon-woo Jo,Goalkeeper,South Korea,7.5,,,,25.666667,270,10
Bruno Guimarães,Midfielder,Brazil,6.914285714285714,0.529412,0.444444,0.545455,44.814815,486,10
Son Heung-min,Forward,South Korea,6.9,0.5,0.454545,0.5,25.393258,801,10
Diogo Costa,Goalkeeper,Portugal,7.029999999999999,0.714286,,,24,900,10
Gabriel Martinelli,Forward,Brazil,6.814285714285715,0.363636,0.444444,0.5,34.269231,260,10
Dries Mertens,Midfielder,Belgium,7.0375,0.55,0.75,0.25,34.986595,373,10
Fabian Rieder,Midfielder,Switzerland,6.528571428571429,0.425532,0.5,0.555556,26.596306,379,10
Marcos Acuña,Defender,Argentina,6.828571428571428,0.521739,0.375,0.6,38.599138,464,10
Idrissa Gana Gueye,Midfielder,Senegal,6.93,0.557377,0.333333,0.8,52.765487,904,10
Rafael Leão,Forward,Portugal,6.92,0.454545,0.615385,,43.73494,249,10
João Félix,Forward,Portugal,6.871428571428572,0.492754,0.388889,0.6,28.605948,538,10
Josip Stanišić,Defender,Croatia,6.76,0.666667,1,0.714286,33.8,450,10
Youssef En-Nesyri,Forward,Morocco,6.9375,0.614035,0.625,0.666667,13.380531,565,10
José María Giménez,Defender,Uruguay,7.228571428571429,0.5625,1,0.384615,49,630,10
Hakim Ziyech,Midfielder,Morocco,6.88,0.363636,0.378378,0.625,37.275748,903,10
Manuel Neuer,Goalkeeper,Germany,6.65,0.75,0.5,,29.419355,930,10
Kim Seung-gyu,Goalkeeper,South Korea,6.714285714285714,0.333333,,,31.164596,644,10
João Cancelo,Defender,Portugal,6.922222222222222,0.597015,0.5625,0.5,56.195827,623,10
Gregor Kobel,Goalkeeper,Switzerland,7.271428571428571,,,,31.893831,697,10
Rubén Vargas,Midfielder,Switzerland,7.01,0.438596,0.4,0.4,28.183391,578,10
Joshua Kimmich,Midfielder,Germany,7.57,0.590361,0.428571,0.5,80.022396,893,10
Antonio Rüdiger,Defender,Germany,6.8375,0.736842,,0.2,84.067524,622,10
Danilo,Defender,Brazil,6.733333333333333,0.58,0.75,0.357143,65.444015,777,10
Thiago Silva,Defender,Brazil,7.355555555555556,0.625,,0.625,67.315358,853,10
Jan Vertonghen,Defender,Belgium,6.9111111111111105,0.60274,0.5,0.7,65.183824,816,10
Yannick Carrasco,Forward,Belgium,6.666666666666667,0.510638,0.7,0.7,28.567416,356,10
Romain Saiss,Defender,Morocco,6.925,0.588235,0.5,0.5,40.277778,648,10
Michy Batshuayi,Forward,Belgium,6.7,0.344828,0.666667,,17.255639,266,10
Jae-sung Lee,Midfielder,South Korea,6.6875,0.417582,0.466667,0.6,39.701493,603,10
Diogo Dalot,Defender,Portugal,7.2,0.714286,0.5,0.8,42.074303,323,10
Leon Goretzka,Midfielder,Germany,6.714285714285714,0.538462,0.5,0.555556,29.263804,326,10
Djibril Sow,Midfielder,Switzerland,6.625,0.484848,,0.666667,32.179732,523,10
Eden Hazard,Forward,Belgium,7.611111111111111,0.674074,0.754098,1,44.724771,654,10
Leander Dendoncker,Midfielder,Belgium,7.033333333333334,0.458333,,0.5,68.214286,252,10
Vitinha,Midfielder,Portugal,7.1625,0.567568,0.666667,0.4,90.901804,499,10
Toby Alderweireld,Defender,Belgium,7.2555555555555555,0.548387,,0.818182,78.970588,816,10
Gonçalo Ramos,Forward,Portugal,7.233333333333333,0.478261,0.333333,1,19.507389,203,10
Hwang Hee-chan,Forward,South Korea,6.65,0.445946,0.464286,1,27.803204,437,10
Arthur Theate,Defender,Belgium,6.833333333333333,0.7,,,65.814978,227,9
Marten de Roon,Midfielder,Netherlands,6.68,0.52381,,0.714286,54.461538,195,9
Hans Vanaken,Midfielder,Belgium,6.8500000000000005,0.535714,0.666667,0.333333,45.683891,329,9
Saman Ghoddos,Midfielder,Iran,6.614285714285714,0.375,0.25,0.571429,26.210526,285,9
Rui Patrício,Goalkeeper,Portugal,6.6,,,,21.75,360,9
Giorgian de Arrascaeta,Midfielder,Uruguay,7.325,0.37931,0.5,0.5,40.824742,194,9
Ehsan Hajsafi,Defender,Iran,6.7125,0.702703,0.5,0.666667,24.440367,545,9
Santiago Arias,Defender,Colombia,6.94,0.511111,,0.7,42.43129,473,9
