ee_sandbox_ee_fifa_parsed_players_parsed_name,position_group,ee_sandbox_ee_fifa_parsed_teams_parsed_name,minutes_played,goals,xg,assists,xa,matches_played
Florian Wirtz,Midfielder,Germany,363,0,0.769,3,1.741,4
Mohammed Salisu,Defender,Ghana,270,1,0.768,0,0.34500000000000003,3
Federico Valverde,Midfielder,Uruguay,507,0,0.7670000000000001,0,0.653,6
Gabriel Martinelli,Forward,Brazil,260,1,0.765,0,0.723,10
Michy Batshuayi,Forward,Belgium,266,2,0.761,0,0.022000000000000002,10
Kim Young-gwon,Defender,South Korea,621,2,0.753,0,0.148,7
Anthony Gordon,Forward,England,412,1,0.743,3,0.42999999999999994,8
Daniel Muñoz,Midfielder,Colombia,399,2,0.742,0,0.444,5
Denzel Dumfries,Midfielder,Netherlands,870,1,0.741,4,1.2570000000000001,9
Franck Kessié,Midfielder,Côte d'Ivoire,347,1,0.739,0,0.124,4
Boulaye Dia,Forward,Senegal,320,1,0.738,0,0.08399999999999999,4
Johan Manzambi,Midfielder,Switzerland,200,3,0.7360000000000001,2,0.32,4
Ali Al-Hamadi,Forward,Iraq,181,0,0.7330000000000001,0,0.014,3
Rafael Leão,Forward,Portugal,249,3,0.72,1,0.513,10
Alexander Freeman,Defender,USA,378,1,0.72,1,0.108,5
Evidence Makgopa,Forward,South Africa,213,0,0.719,0,0.037,4
Agustín Canobbio,Midfielder,Uruguay,235,1,0.711,0,0.17200000000000001,6
Leon Goretzka,Midfielder,Germany,326,0,0.704,0,0.193,10
Timothy Weah,Midfielder,USA,396,1,0.698,0,0.215,9
Désiré Doué,Forward,France,409,1,0.6910000000000001,1,0.622,8
Sadio Mané,Midfielder,Senegal,633,1,0.679,1,1.018,7
Dayot Upamecano,Defender,France,1152,0,0.677,1,0.525,15
Antoine Griezmann,Forward,France,1107,4,0.672,5,3.636,14
Alex Baena,Midfielder,Spain,487,1,0.6699999999999999,1,1.354,8
Derek Cornelius,Defender,Canada,315,0,0.669,0,0.048,8
Alexander Sørloth,Forward,Norway,341,0,0.661,0,0.993,6
Nestory Irankunda,Forward,Australia,264,1,0.654,0,0.2,4
Ayase Ueda,Forward,Japan,369,2,0.645,1,0.361,8
Nicolas Jackson,Forward,Senegal,250,0,0.642,1,0.18,8
Ángel Di María,Forward,Argentina,527,2,0.637,1,0.666,11
Mateo Kovačić,Midfielder,Croatia,1092,0,0.636,2,1.314,18
Achraf Dari,Defender,Morocco,187,1,0.633,0,0.01,7
Hwang In-beom,Midfielder,South Korea,606,1,0.626,1,0.8019999999999999,7
Denis Zakaria,Midfielder,Switzerland,466,0,0.623,1,0.5609999999999999,14
Derrick Luckassen,Defender,Ghana,180,1,0.613,0,0.026,4
Azzedine Ounahi,Midfielder,Morocco,1007,2,0.611,0,1.1360000000000001,13
Moisés Caicedo,Midfielder,Ecuador,629,1,0.601,0,2.106,7
Saeid Ezatolahi,Midfielder,Iran,649,0,0.594,0,0.402,8
Nikola Vlašić,Midfielder,Croatia,394,1,0.5900000000000001,0,0.27799999999999997,11
Alexander Isak,Forward,Sweden,360,1,0.5890000000000001,3,0.482,4
