ee_sandbox_ee_fifa_parsed_players_parsed_name,position_group,ee_sandbox_ee_fifa_parsed_teams_parsed_name,minutes_played,matches_played,key_passes,big_chances_created,assists,xa,assists_xa
Nabil Bentaleb,Midfielder,Algeria,287,4,4,0,0,0.206,-0.206
Ismael Saibari,Midfielder,Morocco,385,6,4,2,0,0.616,-0.616
Alfreð Finnbogason,Forward,Iceland,264,3,4,1,0,0,
Abdallah El-Said,Midfielder,Egypt,225,3,4,0,1,0,
Amad Diallo,Midfielder,Côte d'Ivoire,184,4,4,1,0,0.588,-0.588
Ali Olwan,Forward,Jordan,268,3,4,0,0,0.21400000000000002,-0.21400000000000002
Cyle Larin,Forward,Canada,326,8,4,0,0,0.328,-0.328
João Moutinho,Midfielder,Portugal,185,4,4,1,1,0,
Thiago Almada,Midfielder,Argentina,256,15,4,1,0,0.342,-0.342
Ayase Ueda,Forward,Japan,369,8,4,1,1,0.361,0.639
Otavio,Midfielder,Portugal,199,3,4,2,0,0.534,
Andrés Guardado,Midfielder,Mexico,356,7,4,0,0,0.005,
Hwang Hee-chan,Forward,South Korea,437,10,4,0,0,0.08600000000000001,-0.08600000000000001
Alexander Sørloth,Forward,Norway,341,6,4,1,0,0.993,-0.993
Crysencio Summerville,Midfielder,Netherlands,253,4,4,1,2,0.42,1.58
Nathan-Dylan Saliba,Midfielder,Canada,182,5,4,2,2,0.42800000000000005,1.572
Emam Ashour,Midfielder,Egypt,366,5,4,0,0,0.203,-0.203
Aissa Laïdouni,Midfielder,Tunisia,245,3,4,0,1,0.20800000000000002,0.792
Davy Klaassen,Midfielder,Netherlands,191,5,4,0,2,0.062,1.938
Éver Banega,Midfielder,Argentina,216,4,4,0,2,0,
Ángelo Preciado,Midfielder,Ecuador,377,7,4,0,1,0.262,0.738
Amir Al-Ammari,Midfielder,Iraq,248,3,4,0,1,0.328,0.6719999999999999
Anis Ben Slimane,Midfielder,Tunisia,392,6,4,0,0,0.197,-0.197
Esmir Bajraktarević,Forward,Bosnia & Herzegovina,229,4,4,0,0,0.045,-0.045
Nicolas Raskin,Midfielder,Belgium,346,6,4,3,2,1.413,0.587
Sebastian Larsson,Midfielder,Sweden,318,4,4,0,0,0,
Eldor Shomurodov,Forward,Uzbekistan,269,3,4,0,0,0.118,-0.118
Diego Costa,Forward,Spain,320,4,4,0,0,0,
Tyler Adams,Midfielder,USA,702,9,4,1,0,0.75,-0.75
Noah Sadiki,Midfielder,DR Congo,258,4,4,0,0,0.30000000000000004,-0.30000000000000004
Kieffer Moore,Forward,Wales,225,3,4,0,0,0.089,
Riley McGree,Midfielder,Australia,269,4,4,0,1,0.276,0.724
Farès Chaïbi,Midfielder,Algeria,367,4,4,0,0,0.17099999999999999,-0.17099999999999999
Facundo Pellistri,Midfielder,Uruguay,182,6,4,1,0,0.166,
Victor Moses,Midfielder,Nigeria,270,3,4,0,1,0,
Mathew Leckie,Midfielder,Australia,667,9,4,1,1,0.05,0.95
Koke,Midfielder,Spain,279,8,4,1,0,0.022,
William Carvalho,Midfielder,Portugal,574,9,4,0,0,0.043,
Rafael Leão,Forward,Portugal,249,10,4,1,1,0.513,0.487
Bruno Petkovic,Forward,Croatia,230,7,4,0,0,0.16699999999999998,
Jordan Ayew,Forward,Ghana,440,7,4,1,1,0.644,0.356
Ruben Loftus-Cheek,Midfielder,England,274,7,4,0,1,0,
Kerim Alajbegović,Midfielder,Bosnia & Herzegovina,277,4,4,1,0,0.32,-0.32
Petar Sučić,Midfielder,Croatia,288,4,4,1,1,0.46900000000000003,0.5309999999999999
Elliot Anderson,Midfielder,England,634,8,4,1,1,0.566,0.43400000000000005
Donyell Malen,Forward,Netherlands,187,4,4,1,0,0.211,-0.211
Christ Inao Oulaï,Midfielder,Côte d'Ivoire,208,4,3,0,0,0.331,-0.331
Fedor Smolov,Forward,Russia,219,5,3,0,0,0,
John McGinn,Midfielder,Scotland,261,3,3,0,0,0.392,-0.392
Daniel Amartey,Midfielder,Ghana,270,3,3,0,0,0.03,
Teun Koopmeiners,Midfielder,Netherlands,342,9,3,0,1,0.29500000000000004,0.705
Mario Pašalić,Midfielder,Croatia,396,11,3,0,0,0.6709999999999999,-0.6709999999999999
Ibrahim Maza,Forward,Algeria,359,4,3,0,0,0.23,-0.23
Nestory Irankunda,Forward,Australia,264,4,3,0,0,0.2,-0.2
Neil El Aynaoui,Midfielder,Morocco,563,6,3,0,0,0.20400000000000001,-0.20400000000000001
Jackson Irvine,Midfielder,Australia,628,11,3,0,0,0.189,-0.189
Yunus Musah,Midfielder,USA,345,4,3,0,0,0.20099999999999998,
Manu Koné,Midfielder,France,397,8,3,0,0,0.247,-0.247
Martin Braithwaite,Forward,Denmark,353,7,3,0,0,0.062,
Giovanni Reyna,Midfielder,USA,193,9,3,0,0,0.223,-0.223
Lucas Torreira,Midfielder,Uruguay,304,8,3,0,0,0,
Fredrik Aursnes,Midfielder,Norway,310,6,3,2,0,0.165,-0.165
Connor Metcalfe,Midfielder,Australia,322,4,3,0,0,0.119,-0.119
Jonathan David,Forward,Canada,613,8,3,0,0,0.362,-0.362
John Obi Mikel,Midfielder,Nigeria,268,3,3,0,0,0,
Marko Stamenić,Midfielder,New Zealand,280,3,3,2,0,0.455,-0.455
Ryan Mendes,Midfielder,Cabo Verde,331,4,3,0,1,0.164,0.836
Marko Livaja,Forward,Croatia,242,7,3,0,1,0.079,0.921
Marco Asensio,Midfielder,Spain,361,8,3,0,0,0.14100000000000001,
Aleksandar Mitrovic,Forward,Serbia,531,6,3,1,0,0.063,
Mohannad Abu Taha,Midfielder,Jordan,265,3,3,0,0,0.175,-0.175
Daniel Muñoz,Midfielder,Colombia,399,5,3,2,0,0.444,-0.444
Alireza Jahanbakhsh,Forward,Iran,282,8,3,0,0,0.323,-0.323
Fabian Rieder,Midfielder,Switzerland,379,10,3,1,0,0.181,-0.181
Manuel Ugarte,Midfielder,Uruguay,186,6,3,0,0,0.158,-0.158
Marouane Fellaini,Forward,Belgium,322,7,3,0,0,0,
Hassan Al Haydos,Forward,Qatar,275,6,3,2,0,0.51,-0.51
Jamiro Monteiro,Midfielder,Cabo Verde,283,4,3,0,0,0.24900000000000003,-0.24900000000000003
Nicolas Jackson,Forward,Senegal,250,8,3,1,1,0.18,0.8200000000000001
Yannick Carrasco,Forward,Belgium,356,10,3,0,0,0.05,
Enner Valencia,Forward,Ecuador,546,7,3,0,0,0.29,-0.29
Mauricio,Midfielder,Paraguay,183,5,3,0,0,0.171,-0.171
Emil Forsberg,Midfielder,Sweden,417,5,3,1,0,0,
Aron Gunnarsson,Midfielder,Iceland,253,3,3,0,0,0,
Ferran Torres,Forward,Spain,502,12,3,2,1,0.748,0.252
Dele Alli,Midfielder,England,368,7,3,1,0,0,
Aleksandar Pavlović,Midfielder,Germany,274,4,3,0,0,0.492,-0.492
Mbark Boussoufa,Midfielder,Morocco,270,3,3,0,0,0,
Remo Freuler,Midfielder,Switzerland,925,14,3,0,0,0.77,-0.77
Cristian Martínez,Midfielder,Panama,243,3,3,0,0,0.16999999999999998,-0.16999999999999998
Saud Abdulhamid,Midfielder,Saudi Arabia,539,6,3,0,0,0.155,-0.155
Gonçalo Guedes,Midfielder,Portugal,245,9,3,0,1,0,
Darwin Núñez,Forward,Uruguay,397,6,3,1,0,0.086,-0.086
Yoshimar Yotún,Midfielder,Peru,180,3,3,0,0,0,
Mahmoud Trézéguet,Midfielder,Egypt,411,8,3,1,1,0.057999999999999996,0.942
Firas Al-Buraikan,Forward,Saudi Arabia,508,6,3,0,1,0.209,0.791
Ferjani Sassi,Midfielder,Tunisia,249,6,3,0,0,0.019,
Hector Herrera,Midfielder,Mexico,528,7,3,0,0,0.162,
Leon Goretzka,Midfielder,Germany,326,10,3,0,0,0.193,-0.193
Thomas Partey,Midfielder,Ghana,540,6,3,0,0,0.221,-0.221
Lucas Bergvall,Midfielder,Sweden,185,4,3,0,1,0.072,0.928
Marcus Berg,Forward,Sweden,426,5,3,1,0,0,
Blerim Džemaili,Midfielder,Switzerland,326,4,3,0,0,0,
Denis Zakaria,Midfielder,Switzerland,466,14,3,2,1,0.5609999999999999,0.43900000000000006
Omar Marmoush,Forward,Egypt,326,5,3,0,0,0.261,-0.261
Selim Amallah,Midfielder,Morocco,409,7,3,0,0,0.11699999999999999,
Paulinho,Midfielder,Brazil,354,5,3,1,0,0,
Sofyan Amrabat,Midfielder,Morocco,819,16,3,0,0,0.126,-0.126
Matías Galarza,Midfielder,Paraguay,399,5,3,1,1,0.194,0.806
Diego Laxalt,Midfielder,Uruguay,301,5,3,0,0,0,
Ali Ahmed,Midfielder,Canada,236,5,3,1,0,0.318,-0.318
Thapelo Maseko,Midfielder,South Africa,245,4,3,0,0,0.053000000000000005,-0.053000000000000005
Nordin Amrabat,Midfielder,Morocco,256,3,3,0,0,0,
Carlos Harvey,Midfielder,Panama,268,3,3,1,0,0.171,-0.171
Giuliano Simeone,Midfielder,Argentina,193,8,3,0,0,0.071,-0.071
Blaise Matuidi,Midfielder,France,336,6,3,0,0,0,
Vitinha,Midfielder,Portugal,499,10,3,1,0,0.46,-0.46
Fabian Delph,Midfielder,England,220,6,3,0,0,0,
Javier Mascherano,Midfielder,Argentina,360,4,3,0,0,0,
Ehsan Haddad,Midfielder,Jordan,261,3,3,1,1,0.269,0.731
Jean-Ricner Bellegarde,Midfielder,Haiti,261,3,3,0,0,0.275,-0.275
Raúl Jiménez,Forward,Mexico,450,12,3,0,0,0.44,-0.44
Sardar Azmoun,Forward,Iran,396,6,3,0,0,0.198,
Johan Manzambi,Midfielder,Switzerland,200,4,3,3,2,0.32,1.68
Agustín Canobbio,Midfielder,Uruguay,235,6,2,0,0,0.17200000000000001,-0.17200000000000001
Saleh Al-Shehri,Forward,Saudi Arabia,226,6,2,0,0,0.038,
Eric Maxim Choupo-Moting,Forward,Cameroon,254,3,2,0,0,0.083,
Sander Berge,Midfielder,Norway,480,6,2,0,0,0.14400000000000002,-0.14400000000000002
Liberato Cacace,Midfielder,New Zealand,223,3,2,0,0,0.13,-0.13
Mohammad Mohebi,Forward,Iran,245,3,2,0,0,0.066,-0.066
João Neves,Midfielder,Portugal,391,5,2,0,0,0.281,-0.281
